District,Year,Season,Crop,Land Area (ha),Rainfall (mm),Temperature (°C),Humidity (%),Irrigation (%),Fertilizer Usage (kg/ha),Yield (t/ha)
Srikakulam,2024,Kharif,Rice,9581.57,1456.13,29.9,73.29,35.45,168.03,1.8
Kadapa,2023,Rabi,Rice,2631.78,430.47,29.81,65.19,90.68,193.51,1.85
Nellore,2021,Rabi,Sugarcane,8902.61,907.71,35.2,76.88,51.89,99.05,1.19
Krishna,2024,Kharif,Maize,7594.03,1479.92,27.1,89.01,95.98,105.99,5.35
Chittoor,2020,Rabi,Maize,8983.69,865.36,32.12,56.29,34.26,120.99,0.81
Visakhapatnam,2022,Kharif,Rice,4561.0,1319.66,29.54,85.03,79.76,127.38,3.34
Kadapa,2024,Kharif,Rice,6657.44,418.35,31.18,88.79,79.68,154.87,1.09
Kadapa,2021,Rabi,Rice,2627.61,996.14,29.13,54.6,50.55,173.43,0.85
Srikakulam,2024,Kharif,Sugarcane,1141.3,1387.28,28.56,79.41,69.61,89.32,2.52
Anantapur,2024,Kharif,Groundnut,1270.6,739.65,35.36,62.44,34.12,91.18,0.56
Guntur,2021,Kharif,Tobacco,545.64,1375.88,26.8,72.44,52.36,130.9,1.49
Guntur,2024,Kharif,Maize,7470.73,1132.84,26.65,51.1,58.17,110.21,1.85
Anantapur,2021,Rabi,Chili,700.19,626.69,38.56,89.32,36.42,99.36,0.76
Nellore,2020,Kharif,Sugarcane,4088.47,936.08,33.38,51.99,85.09,138.32,1.98
Kadapa,2021,Kharif,Cotton,8448.22,936.17,29.18,73.88,67.93,155.53,1.84
Kurnool,2023,Kharif,Cotton,3038.73,715.29,33.67,52.9,96.31,188.79,2.17
Vizianagaram,2020,Rabi,Chili,5014.19,924.35,25.63,88.33,36.77,122.79,1.41
Nellore,2020,Kharif,Maize,1219.43,743.98,27.64,53.85,62.14,154.22,2.28
East Godavari,2022,Kharif,Tobacco,2517.56,1129.71,33.44,82.7,33.15,102.58,2.06
Nellore,2024,Kharif,Rice,6610.33,790.57,30.72,77.92,46.89,188.43,1.32
Guntur,2024,Rabi,Pulses,9372.21,1150.64,35.54,52.02,52.74,136.91,1.69
Prakasam,2021,Kharif,Maize,2870.24,731.5,34.43,81.77,91.83,126.66,2.63
Chittoor,2021,Kharif,Tobacco,8139.32,966.71,33.68,56.28,40.51,108.84,0.81
Visakhapatnam,2020,Kharif,Maize,6827.81,1241.31,26.32,60.9,41.15,181.94,1.87
Nellore,2024,Kharif,Rice,1916.6,1222.08,33.86,75.46,61.64,130.51,2.44
Visakhapatnam,2022,Rabi,Cotton,1491.5,865.31,33.27,88.55,63.95,96.25,1.65
West Godavari,2021,Rabi,Tobacco,3128.25,1245.12,28.88,67.08,75.01,100.46,4.17
Visakhapatnam,2023,Kharif,Tobacco,7958.17,896.59,34.31,65.6,99.68,111.05,3.65
Chittoor,2020,Rabi,Maize,1580.54,692.69,33.67,59.37,61.05,155.4,1.16
Srikakulam,2023,Rabi,Tobacco,834.94,1360.44,31.87,83.8,49.14,92.12,2.47
Visakhapatnam,2023,Rabi,Groundnut,8369.01,1439.72,30.8,68.14,31.91,171.93,1.45
Guntur,2023,Rabi,Rice,4800.24,1153.43,32.76,60.54,90.68,97.11,2.49
Krishna,2024,Kharif,Chili,4398.78,1401.33,33.31,87.47,99.59,96.12,6.99
Guntur,2023,Rabi,Tobacco,3480.26,1048.99,34.06,65.7,72.77,170.32,3.27
East Godavari,2024,Kharif,Maize,9197.16,1558.69,25.62,55.42,55.02,128.25,3.11
Kurnool,2022,Kharif,Chili,4489.98,701.52,33.54,64.17,51.76,147.63,1.68
Krishna,2024,Kharif,Sugarcane,9624.66,1234.82,30.75,61.21,79.75,143.8,3.06
Vizianagaram,2024,Rabi,Chili,9754.47,1221.95,26.44,57.0,41.39,120.15,1.13
West Godavari,2024,Kharif,Tobacco,1679.0,1254.55,31.51,67.17,77.52,166.22,3.98
Anantapur,2024,Kharif,Sugarcane,2374.87,517.39,36.75,76.17,43.11,100.09,0.45
Prakasam,2021,Kharif,Sugarcane,6649.56,1024.59,31.59,71.08,87.48,159.19,2.22
Visakhapatnam,2020,Kharif,Tobacco,8609.3,777.73,33.2,85.49,83.57,156.93,1.85
Krishna,2022,Rabi,Pulses,6962.21,1471.84,28.03,66.16,69.27,130.24,4.2
Guntur,2020,Rabi,Tobacco,2707.2,1253.51,26.88,61.68,99.24,174.25,4.1
Kurnool,2023,Rabi,Pulses,3226.33,827.75,28.55,71.97,63.03,121.41,1.99
West Godavari,2021,Kharif,Sugarcane,9360.73,1105.66,33.86,62.04,76.71,116.39,3.23
Guntur,2023,Rabi,Maize,8753.82,1089.42,30.34,64.99,65.36,88.04,2.76
Nellore,2023,Rabi,Maize,2114.91,1093.79,34.43,61.76,60.97,192.4,2.16
Chittoor,2023,Kharif,Tobacco,3140.72,583.53,30.39,54.14,74.6,85.98,2.11
Prakasam,2021,Kharif,Groundnut,5114.02,839.92,30.21,87.65,69.83,158.51,1.53
Nellore,2021,Kharif,Rice,801.52,921.31,29.72,57.99,45.45,149.32,1.62
Guntur,2021,Rabi,Groundnut,5035.0,1483.77,35.67,68.77,42.93,106.07,1.22
East Godavari,2022,Rabi,Sugarcane,2345.83,1005.6,26.71,86.0,93.66,171.05,4.6
Krishna,2023,Kharif,Cotton,1669.78,1594.95,32.7,69.09,83.79,142.19,3.57
Anantapur,2021,Rabi,Cotton,3949.7,657.56,31.39,78.46,82.65,192.4,1.67
East Godavari,2022,Kharif,Groundnut,9128.81,1390.18,26.82,52.36,35.53,197.87,2.11
West Godavari,2023,Rabi,Maize,3007.1,1154.16,33.41,77.26,35.22,127.75,1.94
Srikakulam,2023,Kharif,Sugarcane,8264.93,1288.38,26.74,88.14,71.13,106.07,3.94
Chittoor,2023,Rabi,Sugarcane,9070.63,544.51,34.48,75.79,31.02,174.4,0.98
West Godavari,2021,Kharif,Cotton,5025.36,1577.07,31.52,69.24,56.55,123.27,3.23
East Godavari,2022,Kharif,Maize,5591.78,1726.99,30.87,57.43,71.33,108.96,3.16
Vizianagaram,2023,Rabi,Pulses,7046.16,1387.72,32.99,53.23,98.11,193.04,2.86
Srikakulam,2024,Rabi,Cotton,1713.44,1252.58,33.17,86.61,49.03,194.56,2.79
Kadapa,2024,Rabi,Chili,7358.3,691.26,30.58,62.39,57.63,161.69,1.18
Chittoor,2022,Rabi,Sugarcane,6576.81,525.33,33.83,77.76,90.92,182.1,3.01
Kurnool,2021,Rabi,Maize,7909.63,739.92,29.6,82.87,80.97,178.72,2.41
Nellore,2023,Rabi,Maize,9490.35,682.65,26.71,56.91,61.38,198.8,1.85
Kadapa,2021,Rabi,Chili,9491.91,928.92,32.86,58.26,42.3,181.33,0.6
Srikakulam,2021,Rabi,Cotton,2736.9,1665.3,24.29,55.54,38.91,147.05,1.48
Guntur,2021,Rabi,Maize,8656.99,1348.06,33.98,66.31,67.78,153.62,1.94
Kurnool,2023,Rabi,Pulses,3131.23,644.1,32.92,55.97,50.38,185.36,1.54
Guntur,2021,Rabi,Sugarcane,975.97,1012.27,32.12,62.65,60.05,136.86,1.74
Chittoor,2022,Rabi,Tobacco,3530.11,821.88,28.34,88.59,49.19,103.86,0.69
Visakhapatnam,2022,Kharif,Maize,7602.31,963.61,24.14,84.06,73.37,87.79,2.66
Kadapa,2021,Kharif,Tobacco,3221.67,418.69,27.99,85.74,79.17,199.57,1.09
Kurnool,2021,Kharif,Pulses,979.06,732.72,30.32,62.68,94.96,127.45,1.53
Srikakulam,2024,Rabi,Maize,2753.38,1478.17,26.07,64.43,64.15,82.22,3.11
Chittoor,2020,Kharif,Rice,9923.9,560.29,34.9,64.7,80.46,168.69,2.49
Anantapur,2021,Kharif,Sugarcane,7842.63,554.98,32.62,66.75,33.05,114.41,0.45
Chittoor,2021,Kharif,Rice,4748.35,468.33,31.93,83.58,64.28,181.32,1.54
Kurnool,2022,Rabi,Maize,1989.23,1076.61,27.72,51.88,59.11,160.14,0.82
Anantapur,2021,Kharif,Tobacco,5460.35,770.38,36.62,60.03,57.14,179.73,0.51
Visakhapatnam,2022,Kharif,Tobacco,3438.01,1126.0,31.95,85.82,70.58,156.11,2.6
Krishna,2021,Kharif,Cotton,9274.32,989.35,28.47,81.79,79.11,84.42,4.02
Krishna,2021,Kharif,Cotton,3433.97,1508.74,27.52,61.69,44.05,197.8,2.89
Vizianagaram,2022,Kharif,Chili,4952.06,1328.1,34.93,75.57,92.53,198.3,2.9
East Godavari,2023,Kharif,Tobacco,8303.48,1924.66,31.79,56.09,48.36,141.53,3.11
Nellore,2024,Kharif,Chili,7101.26,1213.93,28.18,78.02,62.65,167.71,2.35
Vizianagaram,2020,Kharif,Tobacco,6115.81,956.83,31.36,83.88,56.41,88.43,1.78
Prakasam,2020,Kharif,Pulses,7518.48,1005.17,31.89,62.39,92.91,128.45,2.38
Kadapa,2023,Kharif,Cotton,2010.79,618.1,28.31,85.43,40.52,125.96,0.46
Kurnool,2024,Rabi,Tobacco,9908.82,696.59,31.69,76.49,92.34,158.94,1.94
Srikakulam,2021,Kharif,Chili,3949.83,1395.07,32.34,67.27,42.33,180.95,1.68
Vizianagaram,2022,Kharif,Maize,5305.29,1128.24,32.79,52.7,99.35,174.97,3.14
Visakhapatnam,2024,Rabi,Groundnut,8613.29,710.5,34.0,60.67,77.89,119.52,3.14
Nellore,2023,Kharif,Sugarcane,9708.07,930.83,32.53,86.23,68.52,92.35,2.23
Srikakulam,2022,Rabi,Maize,4120.52,942.02,32.17,70.77,93.97,145.41,3.48
Kurnool,2024,Rabi,Sugarcane,4397.49,776.22,37.62,64.66,82.73,143.47,2.4
Visakhapatnam,2021,Rabi,Rice,9165.08,757.51,30.25,87.16,38.06,136.6,1.26
Nellore,2020,Kharif,Chili,2169.1,1123.62,34.78,60.81,39.06,90.36,1.69
Anantapur,2022,Kharif,Sugarcane,1144.93,373.51,32.14,59.41,71.4,135.9,1.14
Nellore,2023,Rabi,Groundnut,5860.2,1282.79,32.41,68.61,81.51,168.18,3.33
Krishna,2020,Rabi,Cotton,2691.15,1074.97,29.25,69.14,38.83,124.0,2.49
East Godavari,2023,Kharif,Sugarcane,6063.38,1317.06,30.43,63.4,73.01,183.8,4.26
Srikakulam,2022,Rabi,Groundnut,7530.76,876.92,32.09,67.43,33.97,118.83,1.65
Anantapur,2022,Rabi,Groundnut,3206.83,732.75,31.51,51.58,31.93,190.86,0.39
Kurnool,2024,Kharif,Sugarcane,791.32,547.91,30.69,78.44,37.78,174.14,0.56
Krishna,2023,Kharif,Rice,8581.42,1110.27,25.66,70.94,59.39,169.15,3.53
Kurnool,2021,Rabi,Groundnut,3265.04,1102.57,37.35,66.17,51.24,174.34,0.83
Kadapa,2023,Kharif,Tobacco,3772.18,545.42,31.52,64.95,72.88,81.17,1.54
Chittoor,2024,Rabi,Cotton,8518.38,504.21,30.55,89.08,72.98,197.38,1.12
Anantapur,2023,Rabi,Chili,1539.49,347.47,38.82,81.54,81.79,191.23,0.99
East Godavari,2023,Kharif,Pulses,2979.27,1826.61,24.37,75.18,38.19,182.14,1.65
Prakasam,2022,Kharif,Cotton,6586.81,899.47,28.68,59.66,50.76,123.89,0.6
East Godavari,2020,Rabi,Maize,1832.85,1603.36,31.26,56.92,56.42,184.98,2.15
Krishna,2022,Kharif,Chili,5500.24,935.27,31.23,58.98,79.62,172.94,4.25
Anantapur,2021,Kharif,Cotton,9970.64,746.3,32.99,71.34,79.29,158.85,1.1
Krishna,2022,Kharif,Sugarcane,2058.75,1080.14,33.84,80.69,78.15,184.53,4.81
Krishna,2021,Rabi,Maize,4808.44,1509.54,26.68,65.49,34.29,104.03,2.25
Visakhapatnam,2023,Kharif,Sugarcane,9270.62,737.56,27.02,87.25,85.61,118.01,3.71
Visakhapatnam,2021,Rabi,Rice,2737.89,1206.48,32.41,78.8,81.24,126.02,2.03
Kurnool,2023,Kharif,Groundnut,2580.68,508.88,31.1,80.53,37.56,168.53,0.5
Visakhapatnam,2023,Kharif,Chili,6333.74,1445.49,26.5,61.68,31.95,172.07,0.87
Guntur,2021,Rabi,Groundnut,5046.13,1152.2,31.44,64.35,40.78,190.84,1.37
East Godavari,2020,Rabi,Chili,6885.08,1384.43,25.83,76.01,32.36,180.38,2.03
Visakhapatnam,2022,Rabi,Pulses,2044.8,941.55,31.1,52.04,55.25,190.35,2.47
Vizianagaram,2022,Rabi,Chili,6959.86,892.92,29.07,57.28,92.32,195.35,2.53
Kadapa,2020,Rabi,Cotton,799.12,592.24,28.03,88.87,82.08,182.39,1.33
Kurnool,2024,Kharif,Rice,5628.03,732.81,33.28,59.21,78.71,106.22,1.29
West Godavari,2020,Rabi,Groundnut,515.3,1311.32,33.79,72.25,49.48,123.25,2.74
Prakasam,2022,Rabi,Groundnut,5011.66,406.44,26.88,85.33,59.01,136.39,1.67
Kurnool,2023,Kharif,Tobacco,1933.94,1164.14,32.37,61.1,92.35,105.63,1.59
East Godavari,2021,Rabi,Groundnut,8975.36,1156.53,32.42,76.33,33.43,143.23,2.22
Nellore,2024,Kharif,Chili,4169.33,847.81,26.54,51.2,62.11,107.86,1.62
Krishna,2021,Kharif,Cotton,9681.74,926.39,32.54,56.95,47.65,193.6,3.19
Kurnool,2020,Rabi,Rice,9629.16,692.99,28.65,74.07,83.6,91.37,1.54
Chittoor,2024,Kharif,Sugarcane,8567.36,560.79,34.35,61.97,44.61,153.06,1.46
Nellore,2020,Rabi,Rice,1347.22,1046.22,28.58,72.54,76.07,104.23,1.91
Nellore,2022,Rabi,Pulses,589.57,1237.74,26.24,50.46,84.61,121.63,2.76
Vizianagaram,2020,Kharif,Maize,2805.74,969.98,31.25,65.85,73.82,180.71,2.63
Kurnool,2023,Rabi,Maize,3173.23,974.12,29.43,53.47,52.56,85.3,1.55
Anantapur,2024,Rabi,Groundnut,1724.2,550.15,31.4,67.63,78.62,88.04,1.2
Visakhapatnam,2021,Rabi,Groundnut,7179.1,749.82,25.9,57.25,84.07,178.17,2.25
Srikakulam,2021,Rabi,Chili,2390.2,1183.38,33.76,53.38,83.87,96.33,3.12
Vizianagaram,2024,Kharif,Cotton,8501.96,1162.53,33.23,82.38,79.8,113.03,2.16
Kurnool,2023,Kharif,Cotton,4316.79,630.3,29.88,78.02,80.58,150.89,2.48
Krishna,2021,Kharif,Groundnut,9132.52,1219.0,25.13,55.04,60.81,117.39,4.18
Nellore,2020,Kharif,Cotton,8736.08,791.46,35.66,57.1,95.54,97.76,3.9
Srikakulam,2023,Rabi,Groundnut,1931.64,1213.66,25.14,82.67,91.96,125.45,3.96
Anantapur,2020,Rabi,Rice,5479.24,441.06,31.48,60.9,95.02,110.64,0.74
Guntur,2023,Rabi,Pulses,6456.92,947.8,33.86,70.36,40.99,192.28,1.65
Kurnool,2023,Kharif,Cotton,7226.04,1037.34,35.31,52.48,38.11,190.29,0.83
Kurnool,2021,Kharif,Chili,5212.74,734.49,36.02,59.13,46.7,194.41,0.81
Krishna,2023,Kharif,Groundnut,8845.14,1365.39,28.45,57.14,95.99,199.46,5.15
Vizianagaram,2020,Kharif,Pulses,1416.41,1016.47,27.38,86.82,54.27,157.51,2.22
Vizianagaram,2024,Rabi,Pulses,5071.15,1465.38,24.02,88.11,43.24,182.64,1.54
Kadapa,2023,Kharif,Pulses,7820.7,820.39,28.57,79.91,64.75,99.73,1.54
Anantapur,2024,Kharif,Chili,3766.18,686.25,34.45,81.87,35.27,89.37,0.29
Srikakulam,2022,Rabi,Pulses,8013.45,1517.15,30.79,73.36,38.96,111.86,1.95
Vizianagaram,2024,Rabi,Tobacco,4373.29,819.74,27.34,71.08,88.38,123.74,2.41
West Godavari,2020,Kharif,Maize,7520.9,1240.92,31.34,52.04,57.2,126.5,2.85
West Godavari,2023,Kharif,Maize,658.05,1747.51,30.94,60.81,70.16,157.82,3.68
Vizianagaram,2021,Kharif,Chili,810.28,1460.66,26.36,80.96,98.94,92.28,3.79
East Godavari,2020,Kharif,Pulses,8821.8,1871.13,28.52,83.44,83.24,112.39,3.27
West Godavari,2021,Rabi,Sugarcane,4085.33,1601.39,31.92,68.71,76.1,145.45,3.96
Srikakulam,2023,Kharif,Maize,8051.89,1699.57,30.22,69.41,96.35,118.43,3.59
Visakhapatnam,2021,Rabi,Sugarcane,1097.75,1439.02,24.88,77.12,80.71,138.68,2.95
West Godavari,2024,Rabi,Tobacco,944.35,1396.4,29.39,62.82,85.7,183.06,3.19
Nellore,2024,Rabi,Groundnut,3873.48,906.05,28.26,86.73,58.85,190.7,1.85
Visakhapatnam,2021,Rabi,Tobacco,6145.91,1342.51,31.63,88.1,82.91,80.57,3.57
East Godavari,2020,Rabi,Cotton,703.9,1371.46,29.8,70.14,53.97,168.11,2.88
West Godavari,2023,Kharif,Groundnut,880.95,1005.99,30.77,71.47,59.17,117.42,2.55
West Godavari,2020,Rabi,Tobacco,5522.15,1763.47,26.63,62.01,52.55,131.09,2.44
Nellore,2022,Rabi,Sugarcane,8024.78,1282.82,34.11,84.79,91.54,126.59,3.9
Anantapur,2021,Kharif,Rice,2748.97,737.72,33.28,55.5,58.24,191.87,1.31
Vizianagaram,2021,Rabi,Cotton,5510.71,1447.88,24.87,77.95,83.28,154.11,2.41
Nellore,2020,Rabi,Maize,2730.3,944.32,27.21,76.06,74.84,116.4,2.65
East Godavari,2024,Kharif,Rice,5981.73,1829.33,33.23,54.17,34.99,182.08,1.27
Guntur,2021,Rabi,Pulses,928.93,1252.85,35.56,71.08,52.96,96.0,2.34
Prakasam,2024,Rabi,Cotton,5288.62,1060.5,29.95,69.07,30.26,140.66,0.47
Visakhapatnam,2020,Kharif,Rice,6169.59,818.22,27.49,57.64,88.45,168.75,3.71
Krishna,2020,Kharif,Maize,2624.72,1249.35,28.74,59.04,89.4,159.72,5.36
Anantapur,2021,Kharif,Maize,7343.62,594.26,35.25,78.36,32.19,111.81,0.41
Krishna,2021,Kharif,Tobacco,8369.65,1088.57,26.5,51.74,73.13,133.72,2.63
Kadapa,2023,Rabi,Sugarcane,4965.53,712.3,32.85,61.17,92.92,164.26,2.51
Krishna,2021,Kharif,Pulses,3659.79,929.51,33.9,67.77,73.14,138.71,2.5
Guntur,2021,Kharif,Cotton,9610.49,1404.28,26.82,77.24,86.38,142.0,3.44
Kurnool,2023,Kharif,Rice,4070.15,974.16,32.44,52.82,51.2,111.95,0.91
Prakasam,2023,Rabi,Sugarcane,8110.05,831.8,36.87,65.43,30.51,125.26,0.89
Visakhapatnam,2022,Rabi,Tobacco,5281.57,1482.55,30.96,74.58,34.4,125.2,0.84
Srikakulam,2020,Kharif,Groundnut,8217.69,1665.33,31.09,67.2,70.99,195.64,3.44
Prakasam,2022,Kharif,Groundnut,4561.88,623.44,31.31,75.69,81.88,189.29,2.39
East Godavari,2022,Rabi,Tobacco,1677.07,1778.51,28.49,69.98,78.5,196.98,5.02
Anantapur,2021,Kharif,Tobacco,7905.4,537.13,36.0,55.1,50.69,140.23,0.94
Vizianagaram,2024,Kharif,Rice,8922.53,1073.81,26.03,87.83,63.17,178.89,1.45
Vizianagaram,2020,Rabi,Tobacco,5336.05,1190.45,26.91,87.91,33.09,198.41,0.89
Guntur,2022,Kharif,Sugarcane,3329.51,1153.09,32.78,67.05,61.8,154.04,2.45
Guntur,2020,Kharif,Maize,9558.01,1236.09,31.59,51.92,65.56,182.73,1.64
West Godavari,2022,Kharif,Groundnut,3069.07,1291.68,24.49,80.53,92.94,126.77,3.52
Kadapa,2024,Rabi,Rice,2565.43,849.77,34.8,87.38,93.98,85.0,1.31
Nellore,2021,Kharif,Rice,774.1,1134.95,28.79,64.35,81.26,136.49,1.96
Kadapa,2023,Rabi,Pulses,2330.36,630.35,33.42,66.35,90.37,88.65,2.36
Kadapa,2024,Kharif,Chili,889.82,471.39,36.6,59.68,86.89,192.39,2.25
Nellore,2021,Kharif,Groundnut,4017.16,1212.38,35.84,64.29,49.1,148.29,2.13
Srikakulam,2023,Rabi,Sugarcane,1357.04,951.76,32.52,63.05,84.88,150.29,4.65
Vizianagaram,2023,Kharif,Maize,3896.57,1069.0,25.64,53.73,45.29,143.66,1.81
Vizianagaram,2023,Rabi,Rice,9702.68,1231.33,26.25,53.49,89.98,156.65,4.15
West Godavari,2020,Rabi,Rice,7581.66,1629.8,32.22,63.68,31.6,94.52,1.22
Prakasam,2020,Kharif,Groundnut,8858.81,542.64,26.64,53.78,49.8,181.1,0.81
Anantapur,2022,Rabi,Pulses,7553.43,416.05,35.0,81.31,91.27,143.17,1.58
Visakhapatnam,2020,Rabi,Tobacco,6369.68,1414.15,27.85,51.02,46.43,106.26,1.97
Krishna,2020,Kharif,Rice,2717.91,1164.28,27.13,84.8,92.4,189.57,6.11
East Godavari,2024,Rabi,Sugarcane,3356.24,1218.2,33.9,71.68,80.57,96.95,3.94
Kadapa,2020,Rabi,Sugarcane,3444.75,443.18,30.14,57.56,84.38,168.78,1.56
East Godavari,2022,Rabi,Cotton,8839.0,1521.64,29.57,57.34,31.74,120.41,1.8
Kurnool,2020,Rabi,Pulses,4614.4,579.2,29.24,72.53,80.82,119.94,1.37
Krishna,2022,Rabi,Sugarcane,7764.01,923.76,32.45,89.98,67.64,94.1,3.04
Visakhapatnam,2022,Kharif,Groundnut,5956.28,1083.23,29.37,55.84,40.84,134.89,1.01
East Godavari,2021,Kharif,Pulses,6403.32,1725.14,30.75,85.44,63.83,145.57,3.09
Chittoor,2022,Kharif,Maize,7937.87,960.55,36.38,68.88,99.62,189.32,2.48
Anantapur,2024,Kharif,Tobacco,9246.03,526.26,29.87,54.52,46.8,153.6,0.85
Chittoor,2024,Kharif,Pulses,1033.96,573.01,29.9,76.53,82.64,82.41,2.1
Anantapur,2023,Rabi,Chili,3269.2,547.66,36.93,58.73,75.84,194.76,0.7
Vizianagaram,2023,Rabi,Chili,4325.33,1478.82,25.55,75.87,47.55,117.55,1.94
Visakhapatnam,2024,Rabi,Tobacco,9636.3,756.79,33.06,58.48,46.35,112.57,1.57
Kurnool,2023,Rabi,Tobacco,9364.61,1063.56,37.51,58.93,71.19,130.36,1.57
Visakhapatnam,2020,Rabi,Rice,4789.36,1481.38,26.32,67.62,95.44,100.46,2.29
Anantapur,2022,Rabi,Maize,3243.8,703.77,28.13,77.25,55.5,143.84,0.92
Anantapur,2020,Rabi,Maize,9943.01,347.01,35.66,57.7,74.93,135.74,0.99
Guntur,2024,Kharif,Pulses,3405.2,1305.11,31.24,57.58,95.91,179.53,2.66
Kurnool,2024,Rabi,Groundnut,1364.8,1199.0,37.02,53.31,48.77,102.89,1.58
East Godavari,2024,Kharif,Maize,4938.96,1859.09,28.46,64.5,53.99,118.96,2.36
Kadapa,2022,Kharif,Sugarcane,8127.11,539.59,36.6,59.55,45.42,104.43,1.22
Nellore,2020,Kharif,Maize,4984.44,959.61,25.98,56.94,78.17,125.53,2.18
West Godavari,2024,Kharif,Chili,1234.6,1575.49,31.42,64.75,46.93,171.41,2.28
Prakasam,2024,Rabi,Chili,4252.8,558.74,33.76,54.6,73.73,127.74,2.34
Nellore,2020,Kharif,Maize,1134.4,1230.66,32.51,80.01,81.72,106.01,3.73
Anantapur,2023,Kharif,Sugarcane,9805.58,379.04,28.93,71.06,95.99,108.55,0.86
Kurnool,2021,Kharif,Rice,3413.53,772.79,31.14,81.56,57.92,180.5,1.6
West Godavari,2023,Kharif,Tobacco,9627.86,1019.41,25.88,76.53,83.19,164.51,4.19
Guntur,2021,Rabi,Chili,5370.76,1194.78,35.01,60.42,73.61,145.81,1.97
Srikakulam,2024,Kharif,Chili,9337.82,1639.49,24.71,74.87,73.97,89.53,3.89
Visakhapatnam,2023,Kharif,Tobacco,8814.28,1438.25,27.72,54.94,42.43,104.92,1.83
Krishna,2021,Kharif,Rice,4789.42,918.6,26.59,86.92,68.03,164.97,4.14
Vizianagaram,2023,Kharif,Chili,625.46,819.19,27.4,53.46,76.6,127.6,2.0
Anantapur,2023,Kharif,Maize,1612.84,454.35,34.18,72.08,98.29,153.88,2.18
Vizianagaram,2022,Kharif,Sugarcane,7095.6,730.19,25.5,81.45,80.77,86.5,2.14
East Godavari,2020,Rabi,Maize,2192.57,1813.64,31.39,69.23,71.05,143.12,3.58
Kadapa,2023,Kharif,Rice,7062.97,520.28,37.91,72.61,75.76,176.98,0.85
Anantapur,2023,Rabi,Groundnut,1874.74,711.3,35.46,58.89,69.42,186.75,1.61
Srikakulam,2020,Kharif,Sugarcane,7275.95,803.51,28.3,84.78,56.21,199.66,2.44
East Godavari,2022,Kharif,Tobacco,2922.81,1034.52,29.42,64.34,87.29,136.47,3.31
Vizianagaram,2021,Rabi,Cotton,4693.93,1470.99,34.71,66.58,36.69,170.19,1.38
East Godavari,2022,Rabi,Sugarcane,7464.41,1945.75,28.14,89.66,33.48,100.2,1.36
Kadapa,2024,Kharif,Pulses,1056.37,571.18,28.69,58.31,80.75,139.3,1.27
Nellore,2021,Rabi,Chili,7415.08,892.46,26.36,65.61,60.06,152.48,2.43
Srikakulam,2021,Rabi,Cotton,1825.03,1245.35,24.64,57.46,84.44,163.21,4.21
Guntur,2024,Rabi,Cotton,3643.82,1254.21,31.47,76.24,72.26,156.32,2.78
Krishna,2022,Rabi,Groundnut,3725.42,1277.98,29.2,50.09,31.9,135.62,1.37
Kurnool,2021,Kharif,Tobacco,736.83,649.41,30.7,50.92,47.5,159.69,1.53
Kadapa,2023,Rabi,Rice,5259.06,671.06,31.11,57.24,52.39,187.79,0.95
West Godavari,2020,Kharif,Chili,2224.16,1713.59,32.55,76.48,58.99,152.88,3.27
Chittoor,2024,Kharif,Rice,3664.75,767.92,37.11,76.3,43.67,147.94,1.26
Krishna,2022,Kharif,Chili,1514.02,1370.76,27.57,81.61,52.57,107.45,2.11
Prakasam,2024,Rabi,Tobacco,5425.77,635.83,33.09,85.12,63.2,167.69,1.72
Krishna,2023,Rabi,Maize,8873.98,1541.66,25.76,79.45,35.08,138.01,2.11
Visakhapatnam,2021,Rabi,Rice,869.4,1411.97,27.19,89.52,69.91,88.06,2.42
Kurnool,2020,Kharif,Maize,6856.69,788.09,37.65,68.99,78.15,90.73,1.56
Prakasam,2021,Kharif,Cotton,6034.59,805.1,27.36,57.08,39.22,92.87,0.73
West Godavari,2021,Kharif,Maize,1828.95,1306.58,33.72,87.0,46.1,198.96,1.66
Prakasam,2021,Rabi,Tobacco,6076.81,755.09,26.81,71.18,48.75,108.1,0.79
Nellore,2022,Rabi,Tobacco,1635.8,1069.97,33.85,65.89,85.37,198.93,3.46
West Godavari,2023,Rabi,Pulses,2955.53,1076.77,28.07,75.82,40.6,169.04,1.58
Kadapa,2023,Rabi,Pulses,6277.7,813.86,32.81,85.06,67.52,108.69,0.79
Prakasam,2024,Kharif,Pulses,4370.97,407.01,35.52,77.41,36.98,117.83,0.89
East Godavari,2022,Rabi,Tobacco,3424.13,1439.22,24.16,82.9,31.87,86.03,1.34
Vizianagaram,2022,Kharif,Sugarcane,9752.04,1227.78,27.77,84.43,69.4,157.08,2.19
Vizianagaram,2023,Rabi,Rice,690.39,1015.27,34.8,60.62,67.63,118.16,2.65
Srikakulam,2021,Kharif,Sugarcane,706.89,1612.79,28.94,76.02,39.87,108.79,2.23
Kadapa,2023,Kharif,Maize,5239.83,794.52,35.93,82.78,47.16,134.95,0.69
Guntur,2023,Rabi,Groundnut,3327.34,1466.08,35.83,85.81,84.92,141.49,2.8
Visakhapatnam,2023,Kharif,Maize,8212.48,976.72,31.57,79.51,39.25,162.4,1.25
Guntur,2021,Rabi,Rice,1543.59,1119.48,30.01,82.73,67.89,132.8,2.11
Vizianagaram,2021,Rabi,Chili,8606.27,1199.0,30.3,65.14,79.06,104.0,2.7
Nellore,2024,Kharif,Pulses,4043.95,970.7,27.7,79.23,32.21,125.61,1.09
